02178,Belmont,Massachusetts,MA,Middlesex,42.4464,-71.4594,
20547,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20548,Washington,District of Columbia,DC,District of Columbia,38.8981,-77.0177,
20549,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20550,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20551,Washington,District of Columbia,DC,District of Columbia,38.892,-77.0452,
20552,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20553,Washington,District of Columbia,DC,District of Columbia,38.8873,-77.0231,
20554,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20555,Washington,District of Columbia,DC,District of Columbia,38.9,-77.0401,
20557,Washington,District of Columbia,DC,District of Columbia,38.8874,-77.0047,
20558,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20559,Washington,District of Columbia,DC,District of Columbia,38.8874,-77.0047,
20560,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20565,Washington,District of Columbia,DC,District of Columbia,38.8919,-77.0189,
20566,Washington,District of Columbia,DC,District of Columbia,38.8971,-77.0554,
20570,Washington,District of Columbia,DC,District of Columbia,38.8991,-77.0401,
20571,Washington,District of Columbia,DC,District of Columbia,38.9006,-77.0346,
20572,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20573,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20575,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20576,Washington,District of Columbia,DC,District of Columbia,38.8937,-77.0236,
20577,Washington,District of Columbia,DC,District of Columbia,38.9008,-77.0345,
20578,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20579,Washington,District of Columbia,DC,District of Columbia,38.9043,-77.0446,
20580,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20581,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20585,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20586,Washington,District of Columbia,DC,District of Columbia,38.9022,-77.0474,
20590,Washington,District of Columbia,DC,District of Columbia,38.884,-77.0221,
20591,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20593,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20594,Washington,District of Columbia,DC,District of Columbia,38.8849,-77.0184,
20595,Washington,District of Columbia,DC,,38.905,-77.0162,
20597,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20599,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20601,Waldorf,Maryland,MD,Charles,38.6371,-76.8778,
20602,Waldorf,Maryland,MD,Charles,38.584,-76.8942,
20603,Waldorf,Maryland,MD,Charles,38.6294,-76.9769,
20604,Waldorf,Maryland,MD,Charles,38.5095,-76.9817,
20606,Abell,Maryland,MD,St. Mary's,38.2471,-76.7481,
20607,Accokeek,Maryland,MD,Prince George's,38.672,-77.0162,
20608,Aquasco,Maryland,MD,Prince George's,38.5825,-76.7149,
20609,Avenue,Maryland,MD,St. Mary's,38.2826,-76.7466,
20610,Barstow,Maryland,MD,Calvert,38.4447,-76.533,
20611,Bel Alton,Maryland,MD,Charles,38.4731,-76.9789,
20612,Benedict,Maryland,MD,Charles,38.5087,-76.6873,
20613,Brandywine,Maryland,MD,Prince George's,38.6922,-76.832,
20615,Broomes Island,Maryland,MD,Calvert,38.418,-76.5478,
20616,Bryans Road,Maryland,MD,Charles,38.6415,-77.0766,
20617,Bryantown,Maryland,MD,Charles,38.5426,-76.8465,
20618,Bushwood,Maryland,MD,St. Mary's,38.2844,-76.7929,
20619,California,Maryland,MD,St. Mary's,38.3006,-76.5312,
20620,Callaway,Maryland,MD,St. Mary's,38.2275,-76.521,
20621,Chaptico,Maryland,MD,St. Mary's,38.351,-76.7833,
20622,Charlotte Hall,Maryland,MD,St. Mary's,38.475,-76.8038,
20623,Cheltenham,Maryland,MD,Prince George's,38.7531,-76.8369,
20624,Clements,Maryland,MD,St. Mary's,38.3407,-76.7264,
20625,Cobb Island,Maryland,MD,Charles,38.262,-76.8502,
20626,Coltons Point,Maryland,MD,St. Mary's,38.237,-76.7646,
20627,Compton,Maryland,MD,St. Mary's,38.2768,-76.704,
20628,Dameron,Maryland,MD,St. Mary's,38.1533,-76.3575,
20629,Dowell,Maryland,MD,Calvert,38.3364,-76.4524,
20630,Drayden,Maryland,MD,St. Mary's,38.1719,-76.4731,
20632,Faulkner,Maryland,MD,Charles,38.4382,-76.9729,
20634,Great Mills,Maryland,MD,St. Mary's,38.2674,-76.4954,
20635,Helen,Maryland,MD,St. Mary's,38.3121,-76.6077,
20636,Hollywood,Maryland,MD,St. Mary's,38.3524,-76.5626,
20637,Hughesville,Maryland,MD,Charles,38.5207,-76.7817,
20639,Huntingtown,Maryland,MD,Calvert,38.6095,-76.6003,
20640,Indian Head,Maryland,MD,Charles,38.454,-77.0528,
20643,Ironsides,Maryland,MD,Charles,38.5039,-77.1483,
20645,Issue,Maryland,MD,Charles,38.2926,-76.9059,
20646,La Plata,Maryland,MD,Charles,38.5257,-76.9865,
20650,Leonardtown,Maryland,MD,St. Mary's,38.2774,-76.638,
20653,Lexington Park,Maryland,MD,St. Mary's,38.2495,-76.4529,
20656,Loveville,Maryland,MD,St. Mary's,38.3593,-76.6833,
20657,Lusby,Maryland,MD,Calvert,38.3661,-76.4346,
20658,Marbury,Maryland,MD,Charles,38.5633,-77.1596,
20659,Mechanicsville,Maryland,MD,St. Mary's,38.4293,-76.7254,
20660,Morganza,Maryland,MD,St. Mary's,38.364,-76.6941,
20661,Mount Victoria,Maryland,MD,Charles,38.3436,-76.8846,
20662,Nanjemoy,Maryland,MD,Charles,38.4462,-77.1983,
20664,Newburg,Maryland,MD,Charles,38.3298,-76.9175,
20667,Park Hall,Maryland,MD,St. Mary's,38.2177,-76.4429,
20670,Patuxent River,Maryland,MD,St. Mary's,38.2791,-76.4381,
20674,Piney Point,Maryland,MD,St. Mary's,38.1397,-76.5047,
20675,Pomfret,Maryland,MD,Charles,38.5855,-77.0093,
20676,Port Republic,Maryland,MD,Calvert,38.4952,-76.5349,
20677,Port Tobacco,Maryland,MD,Charles,38.4994,-77.0419,
20678,Prince Frederick,Maryland,MD,Calvert,38.5336,-76.5955,
20680,Ridge,Maryland,MD,St. Mary's,38.1169,-76.3711,
20682,Rock Point,Maryland,MD,Charles,38.2836,-76.8481,
20684,Saint Inigoes,Maryland,MD,St. Mary's,38.1441,-76.4083,
20685,Saint Leonard,Maryland,MD,Calvert,38.4501,-76.511,
20686,Saint Marys City,Maryland,MD,St. Mary's,38.1888,-76.4207,
20687,Scotland,Maryland,MD,St. Mary's,38.0828,-76.3477,
20688,Solomons,Maryland,MD,Calvert,38.3293,-76.4651,
20689,Sunderland,Maryland,MD,Calvert,38.649,-76.5767,
20690,Tall Timbers,Maryland,MD,St. Mary's,38.1653,-76.5399,
20692,Valley Lee,Maryland,MD,St. Mary's,38.1899,-76.5087,
20693,Welcome,Maryland,MD,Charles,38.4672,-77.095,
20695,White Plains,Maryland,MD,Charles,38.5974,-76.9903,
20697,Southern Md Facility,Maryland,MD,Prince George's,38.8336,-76.8777,
20701,Annapolis Junction,Maryland,MD,Howard,39.1332,-76.7988,
20703,Lanham,Maryland,MD,Prince George's,38.8336,-76.8777,
20704,Beltsville,Maryland,MD,Prince George's,38.8336,-76.8777,
20705,Beltsville,Maryland,MD,Prince George's,39.0455,-76.9242,
20706,Lanham,Maryland,MD,Prince George's,38.9675,-76.8551,
20707,Laurel,Maryland,MD,Prince George's,39.1077,-76.872,
20708,Laurel,Maryland,MD,Prince George's,39.0499,-76.8345,
20709,Laurel,Maryland,MD,Prince George's,38.8336,-76.8777,
20710,Bladensburg,Maryland,MD,Prince George's,38.9421,-76.9261,
20711,Lothian,Maryland,MD,Anne Arundel,38.8029,-76.6628,
20712,Mount Rainier,Maryland,MD,Prince George's,38.9431,-76.9652,
20714,North Beach,Maryland,MD,Calvert,38.7119,-76.5367,
20715,Bowie,Maryland,MD,Prince George's,38.9797,-76.7435,
20716,Bowie,Maryland,MD,Prince George's,38.9263,-76.7098,
20717,Bowie,Maryland,MD,Prince George's,38.8336,-76.8777,
20718,Bowie,Maryland,MD,Prince George's,38.8336,-76.8777,
20719,Bowie,Maryland,MD,Prince George's,38.8336,-76.8777,
20720,Bowie,Maryland,MD,Prince George's,38.9885,-76.791,
20721,Bowie,Maryland,MD,Prince George's,38.9194,-76.7871,
20722,Brentwood,Maryland,MD,Prince George's,38.9407,-76.9531,
20723,Laurel,Maryland,MD,Howard,39.1208,-76.8434,
20724,Laurel,Maryland,MD,Anne Arundel,39.0958,-76.8155,
20725,Laurel,Maryland,MD,Prince George's,38.8336,-76.8777,
20726,Laurel,Maryland,MD,Prince George's,38.8336,-76.8777,
20731,Capitol Heights,Maryland,MD,Prince George's,38.8336,-76.8777,
20732,Chesapeake Beach,Maryland,MD,Calvert,38.6698,-76.5376,
20733,Churchton,Maryland,MD,Anne Arundel,38.8018,-76.5248,
20735,Clinton,Maryland,MD,Prince George's,38.7549,-76.9026,
